;****************************************
;Log File Started 15:00:08 Mon Jan 21 2008
Flac3D>pr gp pos
Gridpoint Position ...
   id          X             Y             Z
 ------  ------------- ------------- -------------
     85 (  3.1104e-002, -1.0000e-002, -1.2884e-002)
     86 (  3.1104e-002,  0.0000e+000, -1.2884e-002)
     87 (  4.6656e-002, -1.0000e-002, -1.9326e-002)
     88 (  4.6656e-002,  0.0000e+000, -1.9326e-002)
     89 (  1.1903e-002, -1.0000e-002, -1.1903e-002)
     90 (  1.1903e-002,  0.0000e+000, -1.1903e-002)
     91 (  2.3806e-002, -1.0000e-002, -2.3806e-002)
     92 (  2.3806e-002,  0.0000e+000, -2.3806e-002)
     93 (  3.5709e-002, -1.0000e-002, -3.5709e-002)
     94 (  3.5709e-002,  0.0000e+000, -3.5709e-002)
     95 (  6.4418e-003, -1.0000e-002, -1.5552e-002)
     96 (  6.4418e-003,  0.0000e+000, -1.5552e-002)
     97 (  1.2884e-002, -1.0000e-002, -3.1104e-002)
     98 (  1.2884e-002,  0.0000e+000, -3.1104e-002)
     99 (  1.9326e-002, -1.0000e-002, -4.6656e-002)
    100 (  1.9326e-002,  0.0000e+000, -4.6656e-002)
    101 (  1.0307e-018, -1.0000e-002, -1.6833e-002)
    102 (  1.0307e-018,  0.0000e+000, -1.6833e-002)
    103 (  2.0614e-018, -1.0000e-002, -3.3667e-002)
    104 (  2.0614e-018,  0.0000e+000, -3.3667e-002)
    105 (  3.0921e-018, -1.0000e-002, -5.0500e-002)
    106 (  3.0921e-018,  0.0000e+000, -5.0500e-002)
    107 (  2.8717e-001, -1.0000e-002, -1.4024e-001)
    108 (  2.8717e-001,  0.0000e+000, -1.4024e-001)
    109 (  5.5173e-001, -1.0000e-002, -2.7324e-001)
    110 (  5.5173e-001,  0.0000e+000, -2.7324e-001)
    111 (  8.4275e-001, -1.0000e-002, -4.1954e-001)
    112 (  8.4275e-001,  0.0000e+000, -4.1954e-001)
    113 (  1.1629e+000, -1.0000e-002, -5.8047e-001)
