                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	             Calcite	               CO3-2	               HCO3-	             a_HCO3-	
  8.324643384616e-05	  1.281633002020e-04	  6.653515728585e-04	  1.420536727628e-03	  9.674595981820e+00	  2.223471459886e-10	 -5.287997642322e+00	  0.000000000000e+00	  1.532687562322e-05	  5.907503556195e-05	  5.605761876604e-05	
  8.324643384616e-05	  1.281633002020e-04	  6.653515728585e-04	  1.420536727628e-03	  9.674595981820e+00	  2.223471459886e-10	 -5.290483710133e+00	  0.000000000000e+00	  1.532687562322e-05	  5.907503556195e-05	  5.605761876604e-05	
  8.181346119513e-05	  1.412703059841e-04	  6.156109205664e-04	  1.350135386921e-03	  9.673924470636e+00	  2.224656845840e-10	 -5.487366263566e+00	  0.000000000000e+00	  1.504492757489e-05	  5.827383363781e-05	  5.535940962172e-05	
  8.181346119511e-05	  1.412703059841e-04	  6.156109205664e-04	  1.350135386921e-03	  9.673924470636e+00	  2.224656845840e-10	 -5.487522890021e+00	  0.000000000000e+00	  1.504492757489e-05	  5.827383363779e-05	  5.535940962170e-05	
  8.079778581755e-05	  1.562004980252e-04	  5.628722420830e-04	  1.276549772077e-03	  9.675255553317e+00	  2.215455855228e-10	 -5.670886600415e+00	  0.000000000000e+00	  1.488696435895e-05	  5.769157680317e-05	  5.487167541327e-05	
  8.079778581696e-05	  1.562004980252e-04	  5.628722420830e-04	  1.276549772077e-03	  9.675255553322e+00	  2.215455855205e-10	 -5.670927706518e+00	  0.000000000000e+00	  1.488696435895e-05	  5.769157680258e-05	  5.487167541272e-05	
  8.028899902160e-05	  1.732449941412e-04	  5.072435131454e-04	  1.200398887547e-03	  9.679021864874e+00	  2.193823891651e-10	 -5.491031205345e+00	  0.000000000000e+00	  1.487877766188e-05	  5.737781133648e-05	  5.464184835246e-05	
  8.028899902158e-05	  1.732449941412e-04	  5.072435131454e-04	  1.200398887547e-03	  9.679021864874e+00	  2.193823891650e-10	 -5.490481140962e+00	  0.000000000000e+00	  1.487877766188e-05	  5.737781133646e-05	  5.464184835244e-05	
  8.083378826721e-05	  1.923455401879e-04	  4.496746617568e-04	  1.122372706083e-03	  9.687471996409e+00	  2.149015180255e-10	  5.480370660339e+00	  0.000000000000e+00	  1.518032446134e-05	  5.763640480493e-05	  5.495932183453e-05	
  8.083378826721e-05	  1.923455401879e-04	  4.496746617568e-04	  1.122372706083e-03	  9.687471996409e+00	  2.149015180255e-10	  4.480370660339e+00	  0.000000000000e+00	  1.518032446134e-05	  5.763640480493e-05	  5.495932183453e-05	
  8.407664462095e-05	  2.135422895868e-04	  3.921411863827e-04	  1.043213549268e-03	  9.706925744769e+00	  2.052492189672e-10	 -5.288201913492e+00	  0.000000000000e+00	  1.628819867435e-05	  5.936003281298e-05	  5.667501092958e-05	
  8.407664462095e-05	  2.135422895868e-04	  3.921411863827e-04	  1.043213549268e-03	  9.706925744769e+00	  2.052492189672e-10	 -5.285122578811e+00	  0.000000000000e+00	  1.628819867435e-05	  5.936003281298e-05	  5.667501092958e-05	
  8.641687450465e-05	  2.303456172846e-04	  3.379188009769e-04	  9.636949819985e-04	  9.722349636197e+00	  1.978429914412e-10	 -5.465688021717e+00	  0.000000000000e+00	  1.715998253022e-05	  6.060050575430e-05	  5.793768483690e-05	
  9.654050985589e-05	  2.404692663869e-04	  3.379188332619e-04	  9.636950740705e-04	  9.758543994290e+00	  1.820795361834e-10	 -5.501485833309e+00	  3.294618804695e-05	  2.029352277270e-05	  6.586890383744e-05	  6.295322342481e-05	
  9.052516547198e-05	  2.399069244571e-04	  2.929179980446e-04	  8.845994164637e-04	  9.743584279618e+00	  1.881724053630e-10	  8.222721058627e+00	  0.000000000000e+00	  1.860847631957e-05	  6.283053973176e-05	  6.014978549666e-05	
