                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	             Calcite	       Dolomite(dis)	
  5.139845060994e-06	  4.877013972282e-06	  9.957177714438e-04	  1.990909631809e-03	  8.564023873989e+00	  2.884138442765e-09	 -4.471291710479e+00	  0.000000000000e+00	  8.077548682323e-07	
  7.205424678548e-06	  6.932655424636e-06	  9.940944074020e-04	  1.987643028151e-03	  8.704910999734e+00	  2.085115651816e-09	 -4.833601593466e+00	  0.000000000000e+00	  8.077548682323e-07	
  7.217061164882e-06	  6.938473672156e-06	  9.941002258394e-04	  1.987643028533e-03	  8.705579442326e+00	  2.081909310482e-09	 -4.833916378662e+00	  0.000000000000e+00	  9.682983288604e-07	
  1.010650169652e-05	  9.826199765176e-06	  9.919855715529e-04	  1.983410291359e-03	  8.844509777851e+00	  1.511941033036e-09	 -4.857844903755e+00	  0.000000000000e+00	  9.682983288604e-07	
  1.011728669077e-05	  9.831592263570e-06	  9.919909642211e-04	  1.983410291702e-03	  8.844945637789e+00	  1.510424730833e-09	 -4.857703713150e+00	  0.000000000000e+00	  1.124423049308e-06	
  1.415476172875e-05	  1.387752177137e-05	  9.892733804615e-04	  1.977992032770e-03	  8.981421921934e+00	  1.103138627495e-09	 -4.438160279102e+00	  0.000000000000e+00	  1.124423049308e-06	
  1.416483232340e-05	  1.388255706975e-05	  9.892784159111e-04	  1.977992033077e-03	  8.981707296818e+00	  1.102414216284e-09	 -4.430877958565e+00	  0.000000000000e+00	  1.277300399384e-06	
  1.980504560547e-05	  1.954464659768e-05	  9.858296238714e-04	  1.971138200392e-03	  9.115256323093e+00	  8.106056664954e-10	  8.909456815157e+00	  0.000000000000e+00	  1.277300399384e-06	
  1.981450949804e-05	  1.954937854530e-05	  9.858343559527e-04	  1.971138200665e-03	  9.115443563570e+00	  8.102564133746e-10	  8.980147020361e+00	  0.000000000000e+00	  1.427939866948e-06	
  2.768046927685e-05	  2.745552096219e-05	  9.815095019839e-04	  1.962568856058e-03	  9.245373899101e+00	  6.007814242732e-10	  9.048470229067e+00	  0.000000000000e+00	  1.427939866948e-06	
  2.768938745157e-05	  2.745998005122e-05	  9.815139611895e-04	  1.962568856298e-03	  9.245496537298e+00	  6.006119036821e-10	  9.045319918963e+00	  0.000000000000e+00	  1.576694555182e-06	
  3.855699329676e-05	  3.839293910716e-05	  9.761524201974e-04	  1.951976477854e-03	  9.370373290958e+00	  4.505645694899e-10	 -4.671965254023e+00	  0.000000000000e+00	  1.576694555182e-06	
  3.856530088616e-05	  3.839709290386e-05	  9.761565740928e-04	  1.951976478059e-03	  9.370452536824e+00	  4.504824367144e-10	 -4.674986332735e+00	  0.000000000000e+00	  1.722370269150e-06	
  5.336070666023e-05	  5.329204354532e-05	  9.695837997811e-04	  1.939030015288e-03	  9.488774982283e+00	  3.430968363289e-10	 -5.335211322556e+00	  0.000000000000e+00	  1.722370269150e-06	
  5.336792101343e-05	  5.329565072415e-05	  9.695874070363e-04	  1.939030015449e-03	  9.488822807353e+00	  3.430591049385e-10	 -5.336585042946e+00	  0.000000000000e+00	  1.865165719673e-06	
  7.378041275966e-05	  7.385285382246e-05	  9.616181249305e-04	  1.923380869017e-03	  9.602355758360e+00	  2.641986475668e-10	 -4.622208852900e+00	  0.000000000000e+00	  1.865165719673e-06	
  7.378459578602e-05	  7.385494533725e-05	  9.616202164838e-04	  1.923380869100e-03	  9.602374956873e+00	  2.641869901152e-10	 -4.646041260074e+00	  0.000000000000e+00	  1.999976525056e-06	
  1.051623934431e-04	  1.054327244448e-04	  9.520652499526e-04	  1.904670892959e-03	  9.721039233328e+00	  2.011018117804e-10	  8.359672192731e+00	  0.000000000000e+00	  1.999976525056e-06	
  1.051551831416e-04	  1.054291192906e-04	  9.520616447431e-04	  1.904670892835e-03	  9.721017206226e+00	  2.011119841742e-10	  8.394820004756e+00	  0.000000000000e+00	  2.106684644998e-06	
  1.363002628638e-04	  1.368134901604e-04	  9.407579138864e-04	  1.882542006403e-03	  9.804493456249e+00	  1.659996823171e-10	  8.326813146175e+00	  0.000000000000e+00	  2.106684644998e-06	
  1.541367799611e-04	  1.546768257542e-04	  9.407312262760e-04	  1.882542268175e-03	  9.842319293411e+00	  1.522034193195e-10	  8.297592633840e+00	  9.654315282977e-06	  2.133623898880e-06	
  1.535827200810e-04	  1.543520828853e-04	  9.275548209287e-04	  1.856648083510e-03	  9.842667679643e+00	  1.520357583082e-10	  8.487082978259e+00	  0.000000000000e+00	  2.133623898880e-06	
  1.536826594960e-04	  1.544784458025e-04	  9.275283981255e-04	  1.856648084908e-03	  9.842866732805e+00	  1.519663712624e-10	  8.490925363075e+00	  1.172504293919e-04	  1.990785768710e-06	
  1.531895081361e-04	  1.541979618606e-04	  9.123258288671e-04	  1.826668272350e-03	  9.843569037646e+00	  1.516681090476e-10	  8.436623765994e+00	  0.000000000000e+00	  1.990785768710e-06	
  1.531796914335e-04	  1.542141186216e-04	  9.122998553300e-04	  1.826668272203e-03	  9.843550377800e+00	  1.516745976013e-10	  8.448154169852e+00	  1.181588103336e-04	  1.850765494383e-06	
  1.526353243463e-04	  1.538611784543e-04	  8.949349492798e-04	  1.792321304317e-03	  9.844403486771e+00	  1.513161549115e-10	  8.492109661957e+00	  0.000000000000e+00	  1.850765494383e-06	
  1.526252314323e-04	  1.538765499344e-04	  8.949094848117e-04	  1.792321304169e-03	  9.844384183979e+00	  1.513228512426e-10	  8.498043138986e+00	  1.183999683188e-04	  1.713858117230e-06	
  1.520258781875e-04	  1.534448649969e-04	  8.752709067983e-04	  1.753379474565e-03	  9.845397901796e+00	  1.509005758792e-10	  8.406717002319e+00	  0.000000000000e+00	  1.713858117230e-06	
  1.520162542194e-04	  1.534601336604e-04	  8.752460140974e-04	  1.753379474426e-03	  9.845379435980e+00	  1.509069638819e-10	  8.393939392209e+00	  1.186318231292e-04	  1.580379090536e-06	
  1.513589996268e-04	  1.529454294450e-04	  8.532553048088e-04	  1.709683146070e-03	  9.846562574888e+00	  1.504177251789e-10	  8.433313993890e+00	  0.000000000000e+00	  1.580379090536e-06	
  1.513499197474e-04	  1.529606046507e-04	  8.532310496596e-04	  1.709683145942e-03	  9.846545095634e+00	  1.504237521193e-10	  8.434334857254e+00	  1.188582117182e-04	  1.450667750522e-06	
  1.506324992995e-04	  1.523597269390e-04	  8.288499032696e-04	  1.661153928023e-03	  9.847904313270e+00	  1.498653686943e-10	 -5.243993859194e+00	  0.000000000000e+00	  1.450667750522e-06	
  1.506240380484e-04	  1.523748151996e-04	  8.288263536995e-04	  1.661153927906e-03	  9.847887972023e+00	  1.498709820822e-10	 -5.233720829809e+00	  1.190788528729e-04	  1.325098834449e-06	
  1.498450924114e-04	  1.516857584589e-04	  8.020624942846e-04	  1.607805976483e-03	  9.849427576396e+00	  1.492423066080e-10	 -5.018448546939e+00	  0.000000000000e+00	  1.325098834449e-06	
  1.498373258400e-04	  1.517007666029e-04	  8.020397195170e-04	  1.607805976378e-03	  9.849412531400e+00	  1.492474527232e-10	 -5.036153842637e+00	  1.192934767354e-04	  1.204017981247e-06	
  1.489965227976e-04	  1.509228500079e-04	  7.729511710350e-04	  1.549754642478e-03	  9.851134093573e+00	  1.485485134673e-10	  8.484250203038e+00	  0.000000000000e+00	  1.204017981247e-06	
  1.489895259598e-04	  1.509377838571e-04	  7.729292403023e-04	  1.549754642386e-03	  9.851120505476e+00	  1.485531391018e-10	  8.484220854730e+00	  1.195018493348e-04	  1.087736329898e-06	
  1.480876394339e-04	  1.500718264133e-04	  7.416268824074e-04	  1.487221775830e-03	  9.853022478552e+00	  1.477852669143e-10	 -4.820305752073e+00	  0.000000000000e+00	  1.087736329898e-06	
  1.480814834801e-04	  1.500866891722e-04	  7.416058636556e-04	  1.487221775752e-03	  9.853010505033e+00	  1.477893214045e-10	 -4.774379839084e+00	  1.197036593714e-04	  9.765957728184e-07	
  1.471204617399e-04	  1.491351239551e-04	  7.082540901537e-04	  1.420537134116e-03	  9.855087940384e+00	  1.469552296386e-10	  8.318191777837e+00	  0.000000000000e+00	  9.765957728184e-07	
  1.471152107546e-04	  1.491499144249e-04	  7.082340486663e-04	  1.420537134051e-03	  9.855077729997e+00	  1.469586670884e-10	  8.327683897946e+00	  1.198985572345e-04	  8.709370126766e-07	
  1.460982226574e-04	  1.481168432624e-04	  6.730493364806e-04	  1.350135537463e-03	  9.857322096728e+00	  1.460624824073e-10	  8.377798927542e+00	  0.000000000000e+00	  8.709370126766e-07	
  1.460939303869e-04	  1.481315539904e-04	  6.730303334564e-04	  1.350135537412e-03	  9.857313782171e+00	  1.460652640015e-10	  8.372130725971e+00	  1.200863140933e-04	  7.709912387725e-07	
  1.450253756021e-04	  1.470227510255e-04	  6.362776349574e-04	  1.276549639878e-03	  9.859712886326e+00	  1.451125102904e-10	 -5.062984581599e+00	  0.000000000000e+00	  7.709912387725e-07	
  1.450220822615e-04	  1.470373665365e-04	  6.362597260866e-04	  1.276549639840e-03	  9.859706577450e+00	  1.451146065624e-10	 -5.082563262577e+00	  1.202665714008e-04	  6.770323587058e-07	
  1.439075611103e-04	  1.458602296043e-04	  5.982467433701e-04	  1.200398440855e-03	  9.862244591946e+00	  1.441121403670e-10	  8.371140520213e+00	  0.000000000000e+00	  6.770323587058e-07	
  1.439052904663e-04	  1.458747248611e-04	  5.982299774562e-04	  1.200398440829e-03	  9.862240368857e+00	  1.441135332872e-10	  8.362512890069e+00	  1.204389851453e-04	  5.892796424938e-07	
  1.427515335867e-04	  1.446381716181e-04	  5.592995125595e-04	  1.122371918730e-03	  9.864897988282e+00	  1.430694293421e-10	 -4.705710064362e+00	  0.000000000000e+00	  5.892796424938e-07	
  1.427502905217e-04	  1.446525108687e-04	  5.592839302362e-04	  1.122371918715e-03	  9.864895894948e+00	  1.430701140774e-10	 -4.692773498320e+00	  1.206032880324e-04	  5.078540025475e-07	
  1.415650493421e-04	  1.433668201785e-04	  5.198046236769e-04	  1.043212409563e-03	  9.867650624086e+00	  1.419935023100e-10	 -5.113261731406e+00	  0.000000000000e+00	  5.078540025475e-07	
  1.415648180764e-04	  1.433809563172e-04	  5.197902562697e-04	  1.043212409557e-03	  9.867650662871e+00	  1.419934885310e-10	 -5.109922761365e+00	  1.207590542114e-04	  4.329251307029e-07	
  1.403567180932e-04	  1.420575588757e-04	  4.801461276847e-04	  9.636935631104e-04	  9.870477241069e+00	  1.408943468915e-10	  8.452813368975e+00	  0.000000000000e+00	  4.329251307029e-07	
  1.403574612212e-04	  1.420714334254e-04	  4.801329962644e-04	  9.636935631131e-04	  9.870479368595e+00	  1.408936595136e-10	  8.452976237409e+00	  1.209060291589e-04	  3.645021185877e-07	
  1.391358217450e-04	  1.407226580786e-04	  4.407122781846e-04	  8.845978635063e-04	  9.873350325734e+00	  1.397825693308e-10	 -5.310743657273e+00	  0.000000000000e+00	  3.645021185877e-07	
  1.391374801882e-04	  1.407362018549e-04	  4.407003928561e-04	  8.845978635156e-04	  9.873354450450e+00	  1.397812486143e-10	 -5.310571593575e+00	  1.210438584877e-04	  3.026081613734e-07	
  1.379121059392e-04	  1.393749861975e-04	  4.018841940531e-04	  8.066937939648e-04	  9.876240782659e+00	  1.386691213756e-10	 -5.301838324672e+00	  0.000000000000e+00	  3.026081613734e-07	
  1.379145998761e-04	  1.393881206780e-04	  4.018735535166e-04	  8.066937939790e-04	  9.876246764418e+00	  1.386672223370e-10	 -5.299902750806e+00	  1.211722355857e-04	  2.471918633300e-07	
  1.366955512586e-04	  1.380276963607e-04	  3.640248978167e-04	  7.307137444740e-04	  9.879118709425e+00	  1.375650086117e-10	  8.417259317221e+00	  0.000000000000e+00	  2.471918633300e-07	
  1.366987820347e-04	  1.380403357341e-04	  3.640154892281e-04	  7.307137444916e-04	  9.879126361310e+00	  1.375625997402e-10	  8.413644786985e+00	  1.212909270189e-04	  1.981184666415e-07	
  1.354961320611e-04	  1.366939003029e-04	  3.274692486168e-04	  6.573337078433e-04	  9.881954244530e+00	  1.364809923849e-10	 -5.121757886469e+00	  0.000000000000e+00	  1.981184666415e-07	
  1.354999850372e-04	  1.367059541402e-04	  3.274610477654e-04	  6.573337078628e-04	  9.881963337050e+00	  1.364781536866e-10	 -5.118499420234e+00	  1.213996448687e-04	  1.552603690343e-07	
  1.343235716108e-04	  1.353863419883e-04	  2.925152275479e-04	  5.871556873726e-04	  9.884718451551e+00	  1.354272982129e-10	  8.511334195473e+00	  0.000000000000e+00	  1.552603690343e-07	
  1.343279198666e-04	  1.353977184494e-04	  2.925081993527e-04	  5.871556873927e-04	  9.884728719263e+00	  1.354241186352e-10	  8.513485298219e+00	  1.214982969348e-04	  1.183494224824e-07	
  1.331871024403e-04	  1.341170834859e-04	  2.594169434285e-04	  5.206935594340e-04	  9.887384196264e+00	  1.344133436387e-10	 -5.221578003681e+00	  0.000000000000e+00	  1.183494224824e-07	
  1.331918112183e-04	  1.341276929584e-04	  2.594110427438e-04	  5.206935594537e-04	  9.887395346724e+00	  1.344099179512e-10	 -5.240865015169e+00	  1.215866857573e-04	  8.718046930480e-08	
  1.320952406423e-04	  1.328972149262e-04	  2.283796161722e-04	  4.583629115569e-04	  9.889926969556e+00	  1.334474977040e-10	 -4.929778074960e+00	  0.000000000000e+00	  8.718046930480e-08	
  1.321001723858e-04	  1.329069739761e-04	  2.283747888750e-04	  4.583629115753e-04	  9.889938694434e+00	  1.334439229325e-10	 -4.860285216288e+00	  1.216648855632e-04	  6.138530485746e-08	
  1.310555818967e-04	  1.317365993201e-04	  1.995566714722e-04	  4.004751293984e-04	  9.892325608168e+00	  1.325368828080e-10	 -5.228535891612e+00	  0.000000000000e+00	  6.138530485746e-08	
  1.310606017032e-04	  1.317454348163e-04	  1.995528557908e-04	  4.004751294150e-04	  9.892337596151e+00	  1.325332543473e-10	 -5.219538995292e+00	  1.217328548212e-04	  4.069224799361e-08	
  1.300746265951e-04	  1.306436603864e-04	  1.730489565896e-04	  3.472357537406e-04	  9.894562870580e+00	  1.316872270111e-10	  8.216569325842e+00	  0.000000000000e+00	  4.069224799361e-08	
  1.300796078497e-04	  1.306515136178e-04	  1.730460846200e-04	  3.472357537550e-04	  9.894574821512e+00	  1.316836345815e-10	  8.138977159081e+00	  1.217908560767e-04	  2.467299989894e-08	
  1.291576405009e-04	  1.296252190222e-04	  1.489059694265e-04	  2.987468902729e-04	  9.896625834358e+00	  1.309027718009e-10	  8.426504188979e+00	  0.000000000000e+00	  2.467299989894e-08	
  1.291624703848e-04	  1.296320495666e-04	  1.489039687721e-04	  2.987468902851e-04	  9.896637473799e+00	  1.308992954699e-10	  8.428218418248e+00	  1.218390561209e-04	  1.300895642334e-08	
  1.283085518510e-04	  1.286863877379e-04	  1.271288798766e-04	  2.550132469730e-04	  9.898506083786e+00	  1.301862400856e-10	 -5.279929029082e+00	  0.000000000000e+00	  1.300895642334e-08	
  1.283131363334e-04	  1.286921767594e-04	  1.271276753425e-04	  2.550132469829e-04	  9.898517176873e+00	  1.301829466409e-10	 -5.282578764633e+00	  1.218779159894e-04	  5.254410368858e-09	
  1.275298835922e-04	  1.278305318226e-04	  1.076750385117e-04	  2.159512093499e-04	  9.900199668741e+00	  1.295388667089e-10	 -5.197061004110e+00	  0.000000000000e+00	  5.254410368858e-09	
  1.275341514403e-04	  1.278352844044e-04	  1.076745537820e-04	  2.159512093578e-04	  9.900210032007e+00	  1.295358067234e-10	 -5.183292203849e+00	  1.219078406969e-04	  1.066928890252e-09	
  1.268228416506e-04	  1.270591377368e-04	  9.046390175891e-05	  1.814002510531e-04	  9.901707119311e+00	  1.289604063399e-10	  8.386860417487e+00	  0.000000000000e+00	  1.066928890252e-09	
  1.268266792058e-04	  1.270629752920e-04	  9.046390176191e-05	  1.814002510591e-04	  9.901716470847e+00	  1.289576587305e-10	  8.372448729768e+00	  1.219295125329e-04	  0.000000000000e+00	
  1.261875349880e-04	  1.263716235445e-04	  7.538393450493e-05	  1.511359198365e-04	  9.903033489505e+00	  1.284491294812e-10	 -5.095706892105e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.261907471876e-04	  1.263748357441e-04	  7.538393450703e-05	  1.511359198407e-04	  9.903041356368e+00	  1.284468282701e-10	 -5.100319895215e+00	  1.219462568035e-04	  0.000000000000e+00	
  1.256230529181e-04	  1.257654603263e-04	  6.229946485099e-05	  1.248836352675e-04	  9.904187823778e+00	  1.280019863015e-10	  8.457855223013e+00	  0.000000000000e+00	  0.000000000000e+00	
