                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	             Calcite	       Dolomite(dis)	
  2.144698021879e-05	  1.157072437780e-05	  1.005333890532e-03	  1.990909945736e-03	  9.144823306737e+00	  7.574574943622e-10	 -4.649430951200e+00	  0.000000000000e+00	  0.000000000000e+00	
  3.380453485619e-05	  1.806343475933e-05	  1.009566384448e-03	  1.987643542012e-03	  9.318698847799e+00	  5.076591042987e-10	 -5.468580038312e+00	  0.000000000000e+00	  0.000000000000e+00	
  3.380453484519e-05	  1.806343475933e-05	  1.009566384448e-03	  1.987643542012e-03	  9.318698847967e+00	  5.076591041031e-10	 -5.467895569600e+00	  0.000000000000e+00	  0.000000000000e+00	
  5.118976156914e-05	  2.716775177064e-05	  1.015732143758e-03	  1.983411086937e-03	  9.470353930112e+00	  3.581321467875e-10	 -5.517993067806e+00	  0.000000000000e+00	  0.000000000000e+00	
  5.118976156746e-05	  2.716775177065e-05	  1.015732143758e-03	  1.983411086937e-03	  9.470353930130e+00	  3.581321467726e-10	 -5.517398083266e+00	  0.000000000000e+00	  0.000000000000e+00	
  7.370843097280e-05	  3.896105532062e-05	  1.023749904033e-03	  1.977993189056e-03	  9.597472990816e+00	  2.673532205111e-10	  7.759697384943e+00	  0.000000000000e+00	  0.000000000000e+00	
  7.370843097280e-05	  3.896105532062e-05	  1.023749904033e-03	  1.977993189056e-03	  9.597472990816e+00	  2.673532205111e-10	  8.734323676460e+00	  0.000000000000e+00	  0.000000000000e+00	
  9.310303529881e-05	  4.934351235559e-05	  1.029336927262e-03	  1.971139636750e-03	  9.675854453377e+00	  2.232696432874e-10	 -4.863668562524e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.030913336738e-04	  5.433766180470e-05	  1.034331168540e-03	  1.971139821452e-03	  9.709043227399e+00	  2.068817150373e-10	 -4.893764087494e+00	  0.000000000000e+00	  5.637287769187e-05	
  1.026511277203e-04	  5.498761784764e-05	  1.028958278874e-03	  1.962570358610e-03	  9.708180049624e+00	  2.072716435635e-10	 -4.771476313433e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.027113541487e-04	  5.501773106388e-05	  1.028988392631e-03	  1.962570359699e-03	  9.708369712106e+00	  2.071813783032e-10	 -4.772360783292e+00	  0.000000000000e+00	  6.869866635245e-05	
  1.022438502959e-04	  5.587776523240e-05	  1.022366981622e-03	  1.951977819947e-03	  9.707538648299e+00	  2.075516155488e-10	 -4.572275717804e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.022414990486e-04	  5.587658960867e-05	  1.022365805978e-03	  1.951977819905e-03	  9.707531208271e+00	  2.075551620378e-10	 -4.635450620006e+00	  0.000000000000e+00	  6.863097317471e-05	
  1.016726331460e-04	  5.695381705107e-05	  1.014249199540e-03	  1.939031138167e-03	  9.706515370553e+00	  2.080085077609e-10	 -5.068412513541e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.016685396784e-04	  5.695177031706e-05	  1.014247152770e-03	  1.939031138094e-03	  9.706502335828e+00	  2.080147348436e-10	 -5.066959740361e+00	  0.000000000000e+00	  6.844254133806e-05	
  1.009858093439e-04	  5.828952901432e-05	  1.004405230227e-03	  1.923381690865e-03	  9.705278170722e+00	  2.085620949569e-10	 -4.989320489639e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.009798276866e-04	  5.828653818522e-05	  1.004402239346e-03	  1.923381690758e-03	  9.705258977862e+00	  2.085712884559e-10	 -4.988497311578e+00	  0.000000000000e+00	  6.838488072052e-05	
  1.001727594915e-04	  5.993462137284e-05	  9.925956441566e-04	  1.904671253597e-03	  9.703808081605e+00	  2.092212686059e-10	 -4.850462955816e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.001642398650e-04	  5.993036155883e-05	  9.925913842686e-04	  1.904671253446e-03	  9.703780495921e+00	  2.092345242451e-10	 -4.861091662600e+00	  0.000000000000e+00	  6.832172391926e-05	
  9.922511108476e-05	  6.194525032868e-05	  9.785769640813e-04	  1.882541908527e-03	  9.702091206882e+00	  2.099926848085e-10	 -4.960079101871e+00	  0.000000000000e+00	  0.000000000000e+00	
  9.921328147505e-05	  6.193933552246e-05	  9.785710491738e-04	  1.882541908319e-03	  9.702052492523e+00	  2.100113569485e-10	 -4.960829124218e+00	  0.000000000000e+00	  6.812464599397e-05	
  9.813828050184e-05	  6.438452224837e-05	  9.621085315399e-04	  1.856647727371e-03	  9.700123072400e+00	  2.108786667917e-10	  8.477969117067e+00	  0.000000000000e+00	  0.000000000000e+00	
  9.812227315429e-05	  6.437651857230e-05	  9.621005277291e-04	  1.856647727092e-03	  9.700070033520e+00	  2.109043561459e-10	  8.480966726020e+00	  0.000000000000e+00	  6.797320206091e-05	
