                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	             Calcite	       Dolomite(dis)	
  2.144671639706e-05	  1.157058830986e-05	  1.005333760034e-03	  1.990909945731e-03	  9.144818403800e+00	  7.574660416703e-10	 -4.429851446294e+00	  0.000000000000e+00	  0.000000000000e+00	
  3.380388251734e-05	  1.806310368406e-05	  1.009566061075e-03	  1.987643541999e-03	  9.318691588532e+00	  5.076675833984e-10	 -5.578710493543e+00	  0.000000000000e+00	  0.000000000000e+00	
  3.380388243731e-05	  1.806310368406e-05	  1.009566061075e-03	  1.987643541999e-03	  9.318691589750e+00	  5.076675819744e-10	 -5.575722870017e+00	  0.000000000000e+00	  0.000000000000e+00	
  5.118835576215e-05	  2.716704278026e-05	  1.015731445297e-03	  1.983411086909e-03	  9.470344124269e+00	  3.581402232838e-10	 -4.783306309265e+00	  0.000000000000e+00	  0.000000000000e+00	
  5.118835576215e-05	  2.716704278027e-05	  1.015731445297e-03	  1.983411086909e-03	  9.470344124269e+00	  3.581402232838e-10	 -4.781521071310e+00	  0.000000000000e+00	  0.000000000000e+00	
  7.370690382648e-05	  3.896028395971e-05	  1.023749146930e-03	  1.977993189025e-03	  9.597465943851e+00	  2.673575508889e-10	 -4.859018550951e+00	  0.000000000000e+00	  0.000000000000e+00	
  7.370690382648e-05	  3.896028395971e-05	  1.023749146930e-03	  1.977993189025e-03	  9.597465943851e+00	  2.673575508889e-10	 -4.859303449463e+00	  0.000000000000e+00	  0.000000000000e+00	
  9.310223215408e-05	  4.934310069836e-05	  1.029336534725e-03	  1.971139636732e-03	  9.675851611668e+00	  2.232711008318e-10	  8.602709977883e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.030913391026e-04	  5.433765443428e-05	  1.034331180298e-03	  1.971139821450e-03	  9.709043234319e+00	  2.068817117582e-10	  8.563703460976e+00	  0.000000000000e+00	  5.637011985740e-05	
  1.026511292651e-04	  5.498760550872e-05	  1.028958291929e-03	  1.962570358609e-03	  9.708180046219e+00	  2.072716451921e-10	 -4.794279665376e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.027113607244e-04	  5.501772124040e-05	  1.028988408201e-03	  1.962570359698e-03	  9.708369724539e+00	  2.071813723948e-10	 -4.797952826342e+00	  0.000000000000e+00	  6.869839112957e-05	
  1.022438583334e-04	  5.587775222154e-05	  1.022367002017e-03	  1.951977819946e-03	  9.707538666920e+00	  2.075516066787e-10	  8.643982508645e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.022415071348e-04	  5.587657662211e-05	  1.022365826397e-03	  1.951977819904e-03	  9.707531227047e+00	  2.075551530941e-10	  8.645122621930e+00	  0.000000000000e+00	  6.863073354911e-05	
  1.016726431182e-04	  5.695380000148e-05	  1.014249226053e-03	  1.939031138167e-03	  9.706515396619e+00	  2.080084953137e-10	 -4.688724093880e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.016685496778e-04	  5.695175328104e-05	  1.014247179297e-03	  1.939031138094e-03	  9.706502361982e+00	  2.080147223541e-10	 -4.687983163337e+00	  0.000000000000e+00	  6.844227252994e-05	
  1.009858216541e-04	  5.828950680790e-05	  1.004405264353e-03	  1.923381690865e-03	  9.705278205364e+00	  2.085620783683e-10	 -4.952241361219e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.009798400360e-04	  5.828651599842e-05	  1.004402273491e-03	  1.923381690758e-03	  9.705259012632e+00	  2.085712718050e-10	 -4.953546271644e+00	  0.000000000000e+00	  6.838458180848e-05	
