                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	             Calcite	       Dolomite(dis)	
  2.126696441090e-05	  1.149020122363e-05	  1.005231861990e-03	  1.990909942557e-03	  9.141435867406e+00	  7.633859025599e-10	 -5.492689542823e+00	  0.000000000000e+00	  0.000000000000e+00	
  3.348087259426e-05	  1.791480959696e-05	  1.009387961125e-03	  1.987643536270e-03	  9.315016901276e+00	  5.119780426811e-10	 -5.163399967766e+00	  0.000000000000e+00	  0.000000000000e+00	
  3.348087259422e-05	  1.791480959696e-05	  1.009387961125e-03	  1.987643536270e-03	  9.315016901277e+00	  5.119780426803e-10	 -5.163445366810e+00	  0.000000000000e+00	  0.000000000000e+00	
  5.075206003758e-05	  2.696708104337e-05	  1.015490652037e-03	  1.983411079133e-03	  9.467216862119e+00	  3.607253403692e-10	  8.629300291364e+00	  0.000000000000e+00	  0.000000000000e+00	
  5.075206003758e-05	  2.696708104338e-05	  1.015490652037e-03	  1.983411079133e-03	  9.467216862119e+00	  3.607253403692e-10	  8.572261106365e+00	  0.000000000000e+00	  0.000000000000e+00	
  7.335267193075e-05	  3.880793321436e-05	  1.023541468232e-03	  1.977993182696e-03	  9.595758570053e+00	  2.684088637066e-10	  6.821243343400e-01	  0.000000000000e+00	  0.000000000000e+00	
  7.335267193075e-05	  3.880793321436e-05	  1.023541468232e-03	  1.977993182696e-03	  9.595758570053e+00	  2.684088637066e-10	  4.582124334340e+00	  0.000000000000e+00	  0.000000000000e+00	
  9.293978989799e-05	  4.929525338854e-05	  1.029214497690e-03	  1.971139633867e-03	  9.675203869475e+00	  2.236036451450e-10	 -4.959813920171e+00	  0.000000000000e+00	  0.000000000000e+00	
  1.030328897953e-04	  5.434180360478e-05	  1.034261140735e-03	  1.971139820594e-03	  9.708791871218e+00	  2.070012371118e-10	 -5.028292684232e+00	  0.000000000000e+00	  5.400995137122e-05	
  1.026232618103e-04	  5.501819423962e-05	  1.028890398611e-03	  1.962570358333e-03	  9.708005711437e+00	  2.073547265300e-10	  8.676382069388e+00	  0.000000000000e+00	  5.400995137122e-05	
  1.026960645820e-04	  5.505459562794e-05	  1.028926800653e-03	  1.962570359650e-03	  9.708235088900e+00	  2.072455209797e-10	  8.678012433892e+00	  0.000000000000e+00	  6.972196228588e-05	
  1.022276211939e-04	  5.592844898434e-05	  1.022288243451e-03	  1.951977820098e-03	  9.707378615674e+00	  2.076280084218e-10	 -5.095402039590e+00	  0.000000000000e+00	  6.972196228588e-05	
  1.021925557775e-04	  5.591091627457e-05	  1.022270710429e-03	  1.951977819466e-03	  9.707267584593e+00	  2.076809602382e-10	 -5.082305064613e+00	  0.000000000000e+00	  6.800009084080e-05	
  1.016516431385e-04	  5.702025827250e-05	  1.014147126388e-03	  1.939031138382e-03	  9.706313469911e+00	  2.081051016031e-10	  8.708330043629e+00	  0.000000000000e+00	  6.800009084080e-05	
  1.016466345024e-04	  5.701775395414e-05	  1.014144622026e-03	  1.939031138292e-03	  9.706297511225e+00	  2.081127291278e-10	  8.715358297972e+00	  0.000000000000e+00	  6.859807788677e-05	
  1.009581562691e-04	  5.837543901023e-05	  1.004273748148e-03	  1.923381690989e-03	  9.705023386147e+00	  2.086843175423e-10	  8.586190188381e+00	  0.000000000000e+00	  6.859807788677e-05	
  1.009521890677e-04	  5.837245540901e-05	  1.004270764495e-03	  1.923381690883e-03	  9.705004224865e+00	  2.086935013109e-10	  8.587508776836e+00	  0.000000000000e+00	  6.797150873125e-05	
  1.001394339867e-04	  6.004608308752e-05	  9.924291781753e-04	  1.904671253644e-03	  9.703498150407e+00	  2.093704247861e-10	 -4.890724145545e+00	  0.000000000000e+00	  6.797150873125e-05	
  1.001305911638e-04	  6.004166167524e-05	  9.924247566863e-04	  1.904671253487e-03	  9.703469491261e+00	  2.093842061190e-10	 -4.861735536556e+00	  0.000000000000e+00	  6.974760556551e-05	
  9.918364391139e-05	  6.208765511741e-05	  9.783671605573e-04	  1.882541908452e-03	  9.701712210230e+00	  2.101757626336e-10	 -5.211518133980e+00	  0.000000000000e+00	  6.974760556551e-05	
  9.917129431382e-05	  6.208148031718e-05	  9.783609856513e-04	  1.882541908235e-03	  9.701671747399e+00	  2.101952951801e-10	 -5.218320104353e+00	  0.000000000000e+00	  6.691083210694e-05	
  9.808690874023e-05	  6.456476418378e-05	  9.618462447334e-04	  1.856647727134e-03	  9.699662803909e+00	  2.111019575230e-10	 -5.199300320490e+00	  0.000000000000e+00	  6.691083210694e-05	
  9.806942769083e-05	  6.455602365654e-05	  9.618375040591e-04	  1.856647726830e-03	  9.699604800206e+00	  2.111300815923e-10	 -5.208289121170e+00	  0.000000000000e+00	  6.803642972723e-05	
  9.685045795708e-05	  6.754935636377e-05	  9.426353155478e-04	  1.826667912778e-03	  9.697360796602e+00	  2.121442017481e-10	  8.005700084303e+00	  0.000000000000e+00	  6.803642972723e-05	
  9.682863374928e-05	  6.753844425593e-05	  9.426244032600e-04	  1.826667912402e-03	  9.697287332419e+00	  2.121799986971e-10	  8.662372058052e+00	  0.000000000000e+00	  6.820345944448e-05	
