#0#0#0#1#100000#0#4.2.13 #########################################
1 1 4
1 1
HEAD, m	
289	8.340256845906000E+00
290	8.338221677051000E+00
291	8.336352830674000E+00
292	8.334053223286000E+00
293	8.331516974664000E+00
294	8.329713965798000E+00
295	8.327840626146000E+00
296	8.324889389167000E+00
297	8.321563435936000E+00
298	8.315862264754000E+00
299	8.304038278857000E+00
300	8.285641001094000E+00
301	8.260742819906000E+00
302	8.235822673693000E+00
303	1.000000000000000E+01
304	9.991345517791000E+00
305	9.986057207111000E+00
306	9.981267812676000E+00
307	9.972598781192000E+00
308	9.963526493213000E+00
309	9.956615063093000E+00
310	9.949122086825000E+00
311	9.941718433231000E+00
312	9.935968962703000E+00
313	9.929916246751000E+00
314	9.925266991545000E+00
315	9.917882457651000E+00
316	9.909631313728000E+00
317	9.894713062575000E+00
318	9.884883983691000E+00
319	9.873513640006000E+00
320	9.863785094950000E+00
321	9.854875866459000E+00
322	9.844088547261000E+00
323	9.829731749888000E+00
324	9.819747436206000E+00
325	9.801811184025000E+00
326	9.779495395682000E+00
327	9.753962804931000E+00
328	9.731314120073000E+00
329	9.699286386073000E+00
330	9.670417167376000E+00
331	9.647758625272000E+00
332	9.629683662354000E+00
333	9.617674925896000E+00
334	9.606042910865000E+00
335	9.588737123867000E+00
336	9.570079905229000E+00
337	9.560135775534000E+00
338	9.554888985302000E+00
339	9.549638934775000E+00
340	9.538535696457000E+00
341	9.527734689404000E+00
342	9.513508262728000E+00
343	9.495337917578000E+00
344	9.479390470980000E+00
345	9.458603658523000E+00
346	9.444392290771000E+00
347	9.421353134680000E+00
348	9.405228078712000E+00
349	9.383647943419000E+00
350	9.366653401246000E+00
351	9.337384953338000E+00
352	9.309459527494000E+00
353	9.272882533832000E+00
354	9.242688534730000E+00
355	9.219745303531000E+00
356	9.186586729725000E+00
357	9.146091377679000E+00
358	9.123521141853000E+00
359	9.101473820809000E+00
360	9.064487366821000E+00
361	9.036533891489000E+00
362	9.008604533350000E+00
363	8.989030232777000E+00
364	8.960385986336000E+00
365	8.921646053749000E+00
366	8.891872108087000E+00
367	8.850303312157000E+00
368	8.806263604384000E+00
369	8.751660928142000E+00
370	8.688645782281000E+00
371	8.643757230225000E+00
372	8.612382006714000E+00
373	8.576954981782000E+00
374	8.553763248173000E+00
375	8.525252333817000E+00
376	8.499609565176000E+00
377	8.476159715392000E+00
378	8.454985916509000E+00
379	8.442398710981000E+00
380	8.431511933491000E+00
381	8.417087849484000E+00
382	8.403169117803000E+00
383	8.392494364932000E+00
384	8.381405519691000E+00
385	8.372658840682000E+00
386	8.363733996591000E+00
387	8.354596451097000E+00
388	8.348708666892000E+00
389	8.343762600749000E+00
390	8.340352142220000E+00
391	8.338367437307000E+00
392	8.335911347777000E+00
393	8.333550368295000E+00
394	8.331555880312000E+00
395	8.329421464497000E+00
396	8.327512102867000E+00
397	8.324974557661000E+00
398	8.321683506114000E+00
399	8.316305237335000E+00
400	8.299375324915000E+00
401	8.285479687792000E+00
402	8.265462183900000E+00
403	8.235388282563000E+00
404	1.000000000000000E+01
405	9.990689433108000E+00
406	9.985538168265000E+00
407	9.980762975515000E+00
408	9.971817222305000E+00
409	9.964230474800000E+00
410	9.956416552120000E+00
411	9.950861940482000E+00
412	9.942659746867000E+00
413	9.936299938483000E+00
414	9.929699634161000E+00
415	9.925375703953000E+00
416	9.918593668807000E+00
417	9.909432131697000E+00
418	9.896297546218000E+00
419	9.888130968397000E+00
420	9.876570787652000E+00
421	9.864380730028000E+00
422	9.856342749831000E+00
423	9.844071065639000E+00
424	9.832114288381000E+00
425	9.818337434561000E+00
426	9.801543924268000E+00
427	9.781006853603000E+00
428	9.754672703243000E+00
429	9.729954516462000E+00
430	9.703709264579000E+00
431	9.675817365994000E+00
432	9.649304115156000E+00
433	9.629089462126000E+00
434	9.613002629265000E+00
435	9.597068150551000E+00
436	9.583815491144000E+00
437	9.569813888820000E+00
438	9.559276882775000E+00
439	9.552771450834000E+00
440	9.547003479285000E+00
441	9.535423339697000E+00
442	9.523031515053000E+00
443	9.508832531385000E+00
444	9.484863969435000E+00
445	9.470598693587000E+00
446	9.451545394067000E+00
447	9.433303505888000E+00
448	9.417443123922000E+00
449	9.402567391146000E+00
450	9.381264454031000E+00
451	9.364338444893000E+00
452	9.344814640688000E+00
453	9.313134370588000E+00
454	9.278940983590000E+00
455	9.261502019633000E+00
456	9.232035266847000E+00
457	9.199124908092000E+00
458	9.150877162626000E+00
459	9.126972302015000E+00
460	9.104505372805000E+00
461	9.066118020205000E+00
462	9.040875852639000E+00
463	9.008241923809000E+00
464	8.988799689800000E+00
465	8.953283756235000E+00
466	8.913485607775000E+00
467	8.879068651342000E+00
468	8.831777389358000E+00
469	8.789409260694000E+00
470	8.737934809875000E+00
471	8.687348672730000E+00
472	8.644981740566000E+00
473	8.617959516286000E+00
474	8.585901348734000E+00
475	8.559991999098000E+00
476	8.530600366184000E+00
477	8.507710924252000E+00
478	8.480202439488000E+00
479	8.458641771446000E+00
480	8.442288947679000E+00
481	8.431289041999000E+00
482	8.417807191893000E+00
483	8.403681638138000E+00
484	8.389845805968000E+00
485	8.378725630187000E+00
486	8.370840746498000E+00
487	8.363256888694000E+00
488	8.354887948068000E+00
489	8.348390297065000E+00
490	8.344173989045000E+00
491	8.340714398915000E+00
492	8.337927929842000E+00
493	8.335800885004000E+00
494	8.333261140388000E+00
495	8.331226011785000E+00
496	8.328611882305000E+00
497	8.327108704550000E+00
498	8.325234835950000E+00
499	8.321560436538000E+00
500	8.315903358076000E+00
501	8.300538640502000E+00
502	8.281744630687000E+00
503	8.267048354446000E+00
504	8.245924685633000E+00
505	1.000000000000000E+01
506	9.990410089007000E+00
507	9.983618227102000E+00
508	9.978187101028000E+00
509	9.970869982232000E+00
510	9.964751037819000E+00
511	9.956893229176000E+00
512	9.951605907479000E+00
513	9.942843490675000E+00
514	9.936717671048000E+00
515	9.929839619803000E+00
516	9.924975702417000E+00
517	9.919605973537000E+00
518	9.910512843830000E+00
519	9.898922493753000E+00
520	9.889784868525000E+00
521	9.879524920912000E+00
522	9.867828975424000E+00
523	9.858504909349000E+00
524	9.843955117623000E+00
525	9.832257194754000E+00
526	9.817744042584000E+00
527	9.799916732643000E+00
528	9.778439860047000E+00
529	9.755699289936000E+00
530	9.729367644406000E+00
531	9.710381226673000E+00
532	9.680977793479000E+00
533	9.651421399933000E+00
534	9.627325219457000E+00
535	9.606349749939000E+00
536	9.590202630773000E+00
537	9.577740627671000E+00
538	9.568337233842000E+00
539	9.557298052263000E+00
540	9.548918229247000E+00
541	9.541596046427000E+00
542	9.532420263565000E+00
543	9.518854334287000E+00
544	9.503154698165000E+00
545	9.476846862338000E+00
546	9.462059670475000E+00
547	9.445346342497000E+00
548	9.428069393176000E+00
549	9.415169143466000E+00
550	9.397320218521000E+00
551	9.377811685413000E+00
552	9.361952422091000E+00
553	9.343869083842000E+00
554	9.317633435242000E+00
555	9.286163117029000E+00
556	9.271450576426000E+00
557	9.251628928497000E+00
558	9.211709632337000E+00
559	9.160172358346000E+00
560	9.131722461249000E+00
561	9.102771297893000E+00
562	9.073728797198000E+00
563	9.046963917300000E+00
564	9.011766475382000E+00
565	8.977127286002000E+00
566	8.946070778067000E+00
567	8.894502560755000E+00
568	8.864257598475000E+00
569	8.816957025309000E+00
570	8.779887463307000E+00
571	8.732164625299000E+00
572	8.686813254319000E+00
573	8.651037648603000E+00
574	8.620975327588000E+00
575	8.598273578818000E+00
576	8.571736769353000E+00
577	8.543535703775000E+00
578	8.516410719040000E+00
579	8.483253222689000E+00
580	8.460096211441000E+00
581	8.444873814750000E+00
582	8.431640624855000E+00
583	8.419652534330000E+00
584	8.404182740967000E+00
585	8.387344677084000E+00
586	8.377005375187000E+00
587	8.370313610747000E+00
588	8.362493427638000E+00
589	8.354298853567000E+00
590	8.347872438741000E+00
591	8.344029224887000E+00
592	8.340918402482000E+00
593	8.337959000428000E+00
594	8.335688440652000E+00
595	8.332945554384000E+00
596	8.330089156380000E+00
597	8.328178628662000E+00
598	8.326670037228000E+00
599	8.325046653132000E+00
600	8.320716332791000E+00
601	8.315938285195000E+00
602	8.303702412888000E+00
603	8.280031682710000E+00
604	8.267053490347000E+00
605	8.253608003976000E+00
606	1.000000000000000E+01
607	9.989495968047000E+00
608	9.981166110221000E+00
609	9.975480051645000E+00
610	9.970078583042000E+00
611	9.964679561182000E+00
612	9.956992374085000E+00
613	9.951975143612000E+00
614	9.942172529922000E+00
615	9.936652038632000E+00
616	9.929913339003000E+00
617	9.925506090240000E+00
618	9.920061244219000E+00
619	9.912175972123000E+00
620	9.900609673277000E+00
621	9.891256389417000E+00
622	9.881905132954000E+00
623	9.871681628586000E+00
624	9.861144318587000E+00
625	9.844909959752000E+00
626	9.831222388290000E+00
627	9.816866982682000E+00
628	9.797516058439000E+00
629	9.779305702360000E+00
630	9.754643175617000E+00
631	9.731222447302000E+00
632	9.710446386143000E+00
633	9.683833339836000E+00
634	9.651556334632000E+00
635	9.625748174890000E+00
636	9.602300960659000E+00
637	9.586177206773000E+00
638	9.572823597030000E+00
639	9.565340224800000E+00
640	9.553629352203000E+00
641	9.543592898526000E+00
642	9.534116762533000E+00
643	9.525283287910000E+00
644	9.510160766384000E+00
645	9.493602724495000E+00
646	9.473204020335000E+00
647	9.455492432020000E+00
648	9.441265376476000E+00
649	9.426181667033000E+00
650	9.413181011032000E+00
651	9.390867594911000E+00
652	9.369523461504000E+00
653	9.357499146903000E+00
654	9.342226171800000E+00
655	9.321978629986000E+00
656	9.298870553897000E+00
657	9.279515205006000E+00
658	9.263698197744000E+00
659	9.227091513734000E+00
660	9.178177489842000E+00
661	9.135152328279000E+00
662	9.106135004440000E+00
663	9.074704360418000E+00
664	9.047766913913000E+00
665	9.009581997994000E+00
666	8.973831859171000E+00
667	8.936691148473000E+00
668	8.887645455106000E+00
669	8.852387493763000E+00
670	8.809511011724000E+00
671	8.771345664538000E+00
672	8.730500921557000E+00
673	8.692592790302000E+00
674	8.659753476649000E+00
675	8.627048371273000E+00
676	8.605511282118000E+00
677	8.582749511454000E+00
678	8.559524773079000E+00
679	8.523964845515000E+00
680	8.488318262822000E+00
681	8.463623569772000E+00
682	8.449680233734000E+00
683	8.433517829691000E+00
684	8.420871723587000E+00
685	8.404807062550000E+00
686	8.386136635569000E+00
687	8.376869963772000E+00
688	8.370385896815000E+00
689	8.360271532248000E+00
690	8.352529459404000E+00
691	8.347404353885000E+00
692	8.343714068512000E+00
693	8.341307727447000E+00
694	8.338308016182000E+00
695	8.335557047056000E+00
696	8.332244816482000E+00
697	8.329460599033000E+00
698	8.327890016282000E+00
699	8.326039361690000E+00
700	8.324235184318000E+00
701	8.320052500878000E+00
702	8.314816868883000E+00
703	8.304761234206000E+00
704	8.282301810652000E+00
705	8.269371034879000E+00
706	8.257130803342000E+00
707	1.000000000000000E+01
708	9.988135523923000E+00
709	9.979482080717000E+00
710	9.974265417980000E+00
711	9.969525668421000E+00
712	9.963746301413000E+00
713	9.956027865008000E+00
714	9.950487220296000E+00
715	9.942321539911000E+00
716	9.935891008342000E+00
717	9.930663651082000E+00
718	9.927026137169000E+00
719	9.920697428654000E+00
720	9.913719368672000E+00
721	9.902940974547000E+00
722	9.893011234938000E+00
723	9.883050334751000E+00
724	9.874813745955000E+00
725	9.861650659347000E+00
726	9.849044062814000E+00
727	9.831549726691000E+00
728	9.816962379759000E+00
729	9.795529609414000E+00
730	9.781320158607000E+00
731	9.755010727463000E+00
732	9.729715899222000E+00
733	9.707452284211000E+00
734	9.684129515970000E+00
735	9.651827736549000E+00
736	9.625944007057000E+00
737	9.600822475993000E+00
738	9.582045642968000E+00
739	9.568132631410000E+00
740	9.558522410720000E+00
741	9.547517091296000E+00
742	9.533434352298000E+00
743	9.524820600517000E+00
744	9.514762309880000E+00
745	9.502373112859000E+00
746	9.489405771432000E+00
747	9.472002052198000E+00
748	9.451712161705000E+00
749	9.436997067585000E+00
750	9.423739705398000E+00
751	9.410555906778000E+00
752	9.379676270264000E+00
753	9.362213215079000E+00
754	9.353575276704000E+00
755	9.341344453337000E+00
756	9.325534084500000E+00
757	9.306077540765000E+00
758	9.292552457106000E+00
759	9.273777380660000E+00
760	9.237667248497000E+00
761	9.194533864656000E+00
762	9.143969384658000E+00
763	9.110966175855000E+00
764	9.078028515293000E+00
765	9.042500531247000E+00
766	9.011944332645000E+00
767	8.972921495795000E+00
768	8.934864737288000E+00
769	8.887460014292000E+00
770	8.848169356824000E+00
771	8.805903893214000E+00
772	8.766060525089000E+00
773	8.726031343597000E+00
774	8.699232602222000E+00
775	8.671047252597000E+00
776	8.644277445675000E+00
777	8.617964243201000E+00
778	8.593332741340000E+00
779	8.573560200062000E+00
780	8.536203842570000E+00
781	8.496816684780000E+00
782	8.471123884099000E+00
783	8.453242333920000E+00
784	8.437786831743000E+00
785	8.422748620925000E+00
786	8.406665816592000E+00
787	8.387318507068000E+00
788	8.378173591210000E+00
789	8.369637430456000E+00
790	8.357736325504000E+00
791	8.351219811531000E+00
792	8.346823765709000E+00
793	8.344142490726000E+00
794	8.341566192597000E+00
795	8.338714294189000E+00
796	8.335145479350000E+00
797	8.331123218079000E+00
798	8.328704173063000E+00
799	8.326960553775000E+00
800	8.324705756625000E+00
801	8.322263274234000E+00
802	8.318295449617000E+00
803	8.311246492079000E+00
804	8.302487390969000E+00
805	8.290144792945000E+00
806	8.275301816358000E+00
807	8.261067607316000E+00
808	1.000000000000000E+01
809	9.987139325854000E+00
810	9.979546489602000E+00
811	9.973485961000000E+00
812	9.968078611143000E+00
813	9.961605860572000E+00
814	9.954648876602000E+00
815	9.948701489520000E+00
816	9.943032119170000E+00
817	9.935981078525000E+00
818	9.931252383165000E+00
819	9.927110634693000E+00
820	9.921489973832000E+00
821	9.915864107025000E+00
822	9.906412670422000E+00
823	9.895545736805000E+00
824	9.883449808548000E+00
825	9.874891045146000E+00
826	9.862624154257000E+00
827	9.851079385346000E+00
828	9.834464496458000E+00
829	9.819352518425000E+00
830	9.796598373529000E+00
831	9.780941939885000E+00
832	9.756534445059000E+00
833	9.727760176877000E+00
834	9.705632496978000E+00
835	9.678905234678000E+00
836	9.653914485786000E+00
837	9.625726327789000E+00
838	9.598970460025000E+00
839	9.577596623765000E+00
840	9.561321276671000E+00
841	9.549990580453000E+00
842	9.538053628877000E+00
843	9.527924669813000E+00
844	9.516491776310000E+00
845	9.506516670408000E+00
846	9.497467088793000E+00
847	9.487626741961000E+00
848	9.470157132938000E+00
849	9.448178440747000E+00
850	9.433099751969000E+00
851	9.421708100253000E+00
852	9.404456366622000E+00
853	9.376401419797000E+00
854	9.357395457776000E+00
855	9.349230539589000E+00
856	9.336547371358000E+00
857	9.325700883218000E+00
858	9.311391856857000E+00
859	9.298556470257000E+00
860	9.278644638042000E+00
861	9.240973506538000E+00
862	9.203087077578000E+00
863	9.154399772131000E+00
864	9.117904144454000E+00
865	9.080941473300000E+00
866	9.049148932184000E+00
867	9.013389796484000E+00
868	8.978393505107000E+00
869	8.928328914959000E+00
870	8.893288242489000E+00
871	8.859821696584000E+00
872	8.802769431010000E+00
873	8.758445909316000E+00
874	8.721070586757000E+00
875	8.698059290527000E+00
876	8.682587899563000E+00
877	8.657651341059000E+00
878	8.636327314904000E+00
879	8.605585594671000E+00
880	8.582559814593000E+00
881	8.554165264446000E+00
882	8.506221604418000E+00
883	8.487623450095000E+00
884	8.460898524520000E+00
885	8.441987929312000E+00
886	8.425078267016000E+00
887	8.406340125828000E+00
888	8.391950584461000E+00
889	8.381864915916000E+00
890	8.367268586357000E+00
891	8.357476268527000E+00
892	8.351154362702000E+00
893	8.347350407857000E+00
894	8.344818695665000E+00
895	8.341713544748000E+00
896	8.338759707023000E+00
897	8.333724517594000E+00
898	8.330055122560000E+00
899	8.327561519798000E+00
900	8.325230403190000E+00
901	8.322548992959000E+00
902	8.318858270075000E+00
903	8.314419813053000E+00
904	8.309946799079000E+00
905	8.302249097686000E+00
906	8.293392233966000E+00
907	8.282326589447000E+00
908	8.273455121936000E+00
909	1.000000000000000E+01
910	9.987884344382000E+00
911	9.980747361002000E+00
912	9.972553360970000E+00
913	9.966871455287000E+00
914	9.960533008901000E+00
915	9.953048682351000E+00
916	9.948611138003000E+00
917	9.943664200296000E+00
918	9.937385190149000E+00
919	9.931940568482000E+00
920	9.926522083544000E+00
921	9.921609239402000E+00
922	9.917265200399000E+00
923	9.908284279768000E+00
924	9.898749022732000E+00
925	9.884894448108000E+00
926	9.874476793478000E+00
927	9.863081487928000E+00
928	9.853378599428000E+00
929	9.837375135077000E+00
930	9.821800401856000E+00
931	9.803871259428000E+00
932	9.782673347651000E+00
933	9.762431909954000E+00
934	9.729200894844000E+00
935	9.700497614550000E+00
936	9.671080543048000E+00
937	9.649664912448000E+00
938	9.623862617702000E+00
939	9.595068312742000E+00
940	9.572372459188000E+00
941	9.554828136658000E+00
942	9.543476277166000E+00
943	9.530650570276000E+00
944	9.518800046016000E+00
945	9.506197243290000E+00
946	9.499582936642000E+00
947	9.493861519885000E+00
948	9.485020149077000E+00
949	9.463659526934000E+00
950	9.445623449939000E+00
951	9.432002589736000E+00
952	9.419623802357000E+00
953	9.401253696036000E+00
954	9.375544150099000E+00
955	9.353334415340000E+00
956	9.342466014202000E+00
957	9.331661699097000E+00
958	9.324250865670000E+00
959	9.312704785786000E+00
960	9.300650355342000E+00
961	9.276775819805000E+00
962	9.240655126275000E+00
963	9.200966797606000E+00
964	9.160864949308000E+00
965	9.123003763395000E+00
966	9.083980998125000E+00
967	9.057889236080000E+00
968	9.017499448849000E+00
969	8.985535877962000E+00
970	8.934085763764000E+00
971	8.900557974088000E+00
972	8.873176050979000E+00
973	8.814878298177000E+00
974	8.761574641247000E+00
975	8.721464218189000E+00
976	8.703521084786000E+00
977	8.687157534455000E+00
978	8.665655857241000E+00
979	8.648217077293000E+00
980	8.621261459135000E+00
981	8.590872403175000E+00
982	8.562695769485000E+00
983	8.517208343072000E+00
984	8.497499337996000E+00
985	8.478386383176000E+00
986	8.452720388410000E+00
987	8.430410810765000E+00
988	8.406843868827000E+00
989	8.395266697559000E+00
990	8.384358384174000E+00
991	8.369696078068000E+00
992	8.359046720686000E+00
993	8.352845506679000E+00
994	8.349277816293000E+00
995	8.345697448633000E+00
996	8.341708449155000E+00
997	8.337631094171000E+00
998	8.332037265332000E+00
999	8.328336488147000E+00
1000	8.325174606466000E+00
1001	8.321863092702000E+00
1002	8.319062288120000E+00
1003	8.316139728551000E+00
1004	8.313035856735000E+00
1005	8.308540942613000E+00
1006	8.301852327767000E+00
1007	8.295084503518000E+00
1008	8.286535374155000E+00
1009	8.280560610508000E+00
1010	1.000000000000000E+01
1011	9.989807883588000E+00
1012	9.980640205004000E+00
1013	9.973216918029000E+00
1014	9.967361579135000E+00
1015	9.960346127124000E+00
1016	9.953242934581000E+00
1017	9.949366542233000E+00
1018	9.944134955438000E+00
1019	9.938975960973000E+00
1020	9.933102183302000E+00
1021	9.927200231859000E+00
1022	9.921736204425000E+00
1023	9.917852742728000E+00
1024	9.909312722450000E+00
1025	9.900695572616000E+00
1026	9.888039003146000E+00
1027	9.874361438174000E+00
1028	9.864207693019000E+00
1029	9.855633142495000E+00
1030	9.839787021743000E+00
1031	9.822338731446000E+00
1032	9.805337097874000E+00
1033	9.787453344107000E+00
1034	9.771248365219000E+00
1035	9.742374005815000E+00
1036	9.695248768193000E+00
1037	9.665140261940000E+00
1038	9.646823649229000E+00
1039	9.617613639406000E+00
1040	9.588180913319000E+00
1041	9.564839589656000E+00
1042	9.550047680196000E+00
1043	9.534023737103000E+00
1044	9.521141591652000E+00
1045	9.509326465813000E+00
1046	9.499496953211000E+00
1047	9.495023021782000E+00
1048	9.490542481978000E+00
1049	9.477442901560000E+00
1050	9.460713507427000E+00
1051	9.444872685841000E+00
1052	9.433490415332000E+00
1053	9.414888929323000E+00
1054	9.394901628927000E+00
1055	9.374113671649000E+00
1056	9.349220599149000E+00
1057	9.337213635644000E+00
1058	9.328499256075000E+00
1059	9.319764968756000E+00
1060	9.308947850100000E+00
1061	9.295720608733000E+00
