                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	               CO3-2	
  1.412352957071e-04	  1.425139902367e-04	  7.089891775239e-04	  1.420535743795e-03	  9.842963528720e+00	  1.516846594438e-10	  4.000000000000e+00	  3.377257364051e-05	
  1.410859830664e-04	  1.423885746467e-04	  6.737645228214e-04	  1.350134228459e-03	  9.846976469682e+00	  1.501276990570e-10	  4.000000000000e+00	  3.400420055919e-05	
  1.407176425705e-04	  1.420254976966e-04	  6.369663517934e-04	  1.276548413460e-03	  9.850789383422e+00	  1.486429305540e-10	  4.000000000000e+00	  3.418004209829e-05	
  1.401693929874e-04	  1.414644927520e-04	  5.989035492883e-04	  1.200397297691e-03	  9.854459981406e+00	  1.472096560760e-10	  4.000000000000e+00	  3.431052065606e-05	
  1.394752266350e-04	  1.407406226238e-04	  5.599200336639e-04	  1.122370858854e-03	  9.858027909406e+00	  1.458142297560e-10	  4.000000000000e+00	  3.440411741658e-05	
  1.386649843149e-04	  1.398851941678e-04	  5.203855065737e-04	  1.043211432364e-03	  9.861518001770e+00	  1.444486265152e-10	  4.000000000000e+00	  3.446770501598e-05	
  1.377651201190e-04	  1.389264580591e-04	  4.806849959899e-04	  9.636926673330e-04	  9.864943015499e+00	  1.431092707791e-10	  4.000000000000e+00	  3.450683633651e-05	
  1.367992792705e-04	  1.378901179308e-04	  4.412076852568e-04	  8.845970472689e-04	  9.868305989836e+00	  1.417960512151e-10	  4.000000000000e+00	  3.452599225854e-05	
  1.357887149046e-04	  1.367996759572e-04	  4.023355666457e-04	  8.066930547935e-04	  9.871602332729e+00	  1.405114735361e-10	  4.000000000000e+00	  3.452879252490e-05	
  1.347525705497e-04	  1.356766430497e-04	  3.644324674953e-04	  7.307130793506e-04	  9.874821701151e+00	  1.392599211956e-10	  4.000000000000e+00	  3.451817409322e-05	
  1.337080546500e-04	  1.345406416771e-04	  3.278339699445e-04	  6.573331132677e-04	  9.877949714410e+00	  1.380470061892e-10	  4.000000000000e+00	  3.449654087316e-05	
  1.326705322320e-04	  1.334094283048e-04	  2.928386839996e-04	  5.871551594345e-04	  9.880969517247e+00	  1.368790006252e-10	  4.000000000000e+00	  3.446588791923e-05	
  1.316535571016e-04	  1.322988608254e-04	  2.597012435947e-04	  5.206930938945e-04	  9.883863192341e+00	  1.357623451842e-10	  4.000000000000e+00	  3.442790225246e-05	
