Distanz;PRESSURE1 ;TRACER 
0;999,999999999;1
,05;999,999999999;1
,1;999,999999999;1
,1499;999,999999999;1
,2;999,999999999;1
,25;999,999999999;1
,2999;999,999999999;1
,3499;662,6726033748;,9214394248994
,4;462,8718540428;,853595603292
,45;345,760863446;,7446933710183
,5;263,5033822608;,6224388175348
,55;203,0287748549;,4914661160665
,5999;155,1690667151;,3605575124288
,65;118,6705809143;,2401683086705
,6999;90,50122632177;,1390321302827
,75;68,24353442777;,06768029073761
,8;50,06717287414;,02580650584123
,8499;35,00409665923;,007490114649692
,9;22,04669952699;,001297727660556
,9499;10,8363188512;7,776311371814E-05
1;0;-7,794563466058E-06
