                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	             Calcite	       Dolomite(dis)	
  1.061459796307e-05	  1.053421158733e-05	  9.955371192293e-04	  1.990909769140e-03	  8.865156214732e+00	  1.448514652676e-09	 -4.728106741702e+00	  0.000000000000e+00	  1.643470842686e-07	
  1.508557501642e-05	  1.499114920411e-05	  9.939184049006e-04	  1.987643226463e-03	  9.007425700668e+00	  1.043949058106e-09	  8.716393015878e+00	  0.000000000000e+00	  1.643470842686e-07	
  1.509552154081e-05	  1.499612246744e-05	  9.939233783124e-04	  1.987643226765e-03	  9.007688996443e+00	  1.043316587486e-09	  9.125826213374e+00	  0.000000000000e+00	  2.955993580369e-07	
  2.129167143834e-05	  2.118393333182e-05	  9.918160082795e-04	  1.983410573134e-03	  9.143888633758e+00	  7.625249287513e-10	 -5.364198694256e+00	  0.000000000000e+00	  2.955993580369e-07	
  2.130101396535e-05	  2.118860461633e-05	  9.918206796948e-04	  1.983410573401e-03	  9.144059503770e+00	  7.622251441621e-10	 -5.362623119237e+00	  0.000000000000e+00	  4.256238908762e-07	
  2.981825088260e-05	  2.970516925084e-05	  9.891130033568e-04	  1.977992427359e-03	  9.273752120600e+00	  5.655154643534e-10	 -5.200065285716e+00	  0.000000000000e+00	  4.256238908762e-07	
  2.982704667677e-05	  2.970956714967e-05	  9.891174013693e-04	  1.977992427593e-03	  9.273863547127e+00	  5.653705047864e-10	 -5.200281519987e+00	  0.000000000000e+00	  5.545433832641e-07	
  4.165504589411e-05	  4.154713435658e-05	  9.856818293718e-04	  1.971138750105e-03	  9.398612808833e+00	  4.242893738296e-10	 -5.330992811626e+00	  0.000000000000e+00	  5.545433832641e-07	
  4.166317015900e-05	  4.155119649111e-05	  9.856858916014e-04	  1.971138750303e-03	  9.398683882892e+00	  4.242200223724e-10	 -5.331334044638e+00	  0.000000000000e+00	  6.820665116321e-07	
  5.629250947366e-05	  5.620326796785e-05	  9.813795193316e-04	  1.962569580131e-03	  9.507274948319e+00	  3.304421698621e-10	  8.323206804327e+00	  0.000000000000e+00	  6.820665116321e-07	
  5.808799303722e-05	  5.799531698866e-05	  9.813829736936e-04	  1.962569619769e-03	  9.518325786422e+00	  3.221532111410e-10	 -4.057830242252e+00	  5.302558586060e-06	  8.065170630439e-07	
  7.158754478937e-05	  7.153329570893e-05	  9.760494559334e-04	  1.951977336650e-03	  9.591318465283e+00	  2.723585169287e-10	 -4.602247627142e+00	  5.302558586060e-06	  8.065170630439e-07	
