                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	             Calcite	               CO3-2	
  2.014732257700e-05	  1.101459981775e-05	  1.004587626447e-03	  1.990909572392e-03	  9.120312539791e+00	  8.014156155250e-10	 -5.260020861260e+00	  0.000000000000e+00	  1.316865979496e-06	
  3.124650127467e-05	  1.691316396172e-05	  1.008154927238e-03	  1.987642947770e-03	  9.289117499059e+00	  5.434149968421e-10	 -4.931487856313e+00	  0.000000000000e+00	  2.870472573524e-06	
  3.124650127467e-05	  1.691316396172e-05	  1.008154927238e-03	  1.987642947770e-03	  9.289117499059e+00	  5.434149968421e-10	 -4.932905754747e+00	  0.000000000000e+00	  2.870472573524e-06	
  4.994447545904e-05	  2.671995256407e-05	  1.014929727862e-03	  1.983410180769e-03	  9.461501997221e+00	  3.654977440599e-10	 -5.320811729595e+00	  0.000000000000e+00	  6.363397261648e-06	
  4.994447545899e-05	  2.671995256407e-05	  1.014929727862e-03	  1.983410180769e-03	  9.461501997222e+00	  3.654977440594e-10	 -5.321711696756e+00	  0.000000000000e+00	  6.363397261648e-06	
  8.087548493762e-05	  4.277940527981e-05	  1.027092132307e-03	  1.977991879105e-03	  9.628698640325e+00	  2.488392667934e-10	 -5.459599135442e+00	  0.000000000000e+00	  1.378602485317e-05	
  8.087548493759e-05	  4.277940527981e-05	  1.027092132307e-03	  1.977991879105e-03	  9.628698640325e+00	  2.488392667933e-10	 -5.459536894065e+00	  0.000000000000e+00	  1.378602485317e-05	
  9.353601919035e-05	  4.987204173266e-05	  1.029233081497e-03	  1.971137984944e-03	  9.677313625459e+00	  2.225225275195e-10	 -5.235249124903e+00	  0.000000000000e+00	  1.725179909858e-05	
  9.353601919035e-05	  4.987204173266e-05	  1.029233081497e-03	  1.971137984944e-03	  9.677313625459e+00	  2.225225275195e-10	 -5.237777638099e+00	  0.000000000000e+00	  1.725179909858e-05	
  9.861711427290e-05	  5.338103061647e-05	  1.026520469597e-03	  1.962568551907e-03	  9.695101469978e+00	  2.135922883379e-10	 -4.921457288896e+00	  0.000000000000e+00	  1.870877909074e-05	
  9.861711427290e-05	  5.338103061647e-05	  1.026520469597e-03	  1.962568551907e-03	  9.695101469978e+00	  2.135922883379e-10	 -4.913172879985e+00	  0.000000000000e+00	  1.870877909074e-05	
  1.004270717403e-04	  5.550389850048e-05	  1.020911305445e-03	  1.951976047706e-03	  9.701638841371e+00	  2.103831725097e-10	 -5.047463543821e+00	  0.000000000000e+00	  1.925017941175e-05	
  1.004270717403e-04	  5.550389850048e-05	  1.020911305445e-03	  1.951976047706e-03	  9.701638841371e+00	  2.103831725097e-10	 -5.052322323963e+00	  0.000000000000e+00	  1.925017941175e-05	
  1.007819788735e-04	  5.719804479946e-05	  1.013098745404e-03	  1.939029409347e-03	  9.703553137542e+00	  2.094285629729e-10	 -4.795082525315e+00	  0.000000000000e+00	  1.937870980269e-05	
  1.007819788735e-04	  5.719804479946e-05	  1.013098745404e-03	  1.939029409347e-03	  9.703553137542e+00	  2.094285629729e-10	 -4.792143752642e+00	  0.000000000000e+00	  1.937870980269e-05	
  1.004456351648e-04	  5.890084453761e-05	  1.003234902473e-03	  1.923380013899e-03	  9.703403945632e+00	  2.094618871587e-10	 -5.011867928374e+00	  0.000000000000e+00	  1.931278916984e-05	
  1.004456351648e-04	  5.890084453761e-05	  1.003234902473e-03	  1.923380013899e-03	  9.703403945632e+00	  2.094618871587e-10	 -4.999641729797e+00	  0.000000000000e+00	  1.931278916984e-05	
  9.973684697440e-05	  6.083330334745e-05	  9.912384656320e-04	  1.904669637876e-03	  9.702229997985e+00	  2.099810616809e-10	 -5.213295025841e+00	  0.000000000000e+00	  1.914511209876e-05	
  9.973684697440e-05	  6.083330334745e-05	  9.912384656321e-04	  1.904669637876e-03	  9.702229997985e+00	  2.099810616809e-10	 -5.214508518164e+00	  0.000000000000e+00	  1.914511209876e-05	
  9.878724341574e-05	  6.312883109227e-05	  9.769286958170e-04	  1.882540364669e-03	  9.700460567617e+00	  2.107807455602e-10	 -5.243558007247e+00	  0.000000000000e+00	  1.891455805639e-05	
  9.878724341574e-05	  6.312883109227e-05	  9.769286958170e-04	  1.882540364669e-03	  9.700460567617e+00	  2.107807455602e-10	 -5.245461146390e+00	  0.000000000000e+00	  1.891455805639e-05	
  9.765196874258e-05	  6.588830996133e-05	  9.600868915334e-04	  1.856646267178e-03	  9.698278963684e+00	  2.117738825549e-10	  8.550690499774e+00	  0.000000000000e+00	  1.863783568254e-05	
  9.765196874258e-05	  6.588830996133e-05	  9.600868915334e-04	  1.856646267178e-03	  9.698278963684e+00	  2.117738825549e-10	  8.543749546510e+00	  0.000000000000e+00	  1.863783568254e-05	
  9.635710506678e-05	  6.920339126073e-05	  9.404870856851e-04	  1.826666549622e-03	  9.695773905395e+00	  2.129186999923e-10	 -5.119192496209e+00	  0.000000000000e+00	  1.832315112454e-05	
  9.635710506678e-05	  6.920339126073e-05	  9.404870856851e-04	  1.826666549622e-03	  9.695773905395e+00	  2.129186999923e-10	 -5.122264791841e+00	  0.000000000000e+00	  1.832315112454e-05	
  9.492067528573e-05	  7.316646250785e-05	  9.179141518449e-04	  1.792319688413e-03	  9.693006560652e+00	  2.141864336294e-10	 -4.927568247651e+00	  0.000000000000e+00	  1.797625728094e-05	
  9.492067528573e-05	  7.316646250785e-05	  9.179141518449e-04	  1.792319688413e-03	  9.693006560652e+00	  2.141864336294e-10	 -4.921697570731e+00	  0.000000000000e+00	  1.797625728094e-05	
  9.336159203387e-05	  7.787450218247e-05	  8.921761718429e-04	  1.753377978929e-03	  9.690040135743e+00	  2.155468644807e-10	 -5.463612813102e+00	  0.000000000000e+00	  1.760300571152e-05	
  9.336159203386e-05	  7.787450218247e-05	  8.921761718429e-04	  1.753377978929e-03	  9.690040135743e+00	  2.155468644806e-10	 -5.463695088582e+00	  0.000000000000e+00	  1.760300571152e-05	
  9.170353604857e-05	  8.343035831655e-05	  8.631141605666e-04	  1.709681785562e-03	  9.686954268551e+00	  2.169609883872e-10	 -5.345741328639e+00	  0.000000000000e+00	  1.721042582369e-05	
  9.170353604857e-05	  8.343035831655e-05	  8.631141605666e-04	  1.709681785562e-03	  9.686954268551e+00	  2.169609883872e-10	 -5.347168671085e+00	  0.000000000000e+00	  1.721042582369e-05	
  8.997597637298e-05	  8.994254396009e-05	  8.306098792494e-04	  1.661152718815e-03	  9.683850860251e+00	  2.183777369897e-10	 -5.367149226389e+00	  0.000000000000e+00	  1.680698153907e-05	
  8.997597637298e-05	  8.994254396009e-05	  8.306098792494e-04	  1.661152718815e-03	  9.683850860251e+00	  2.183777369897e-10	 -5.367224208721e+00	  0.000000000000e+00	  1.680698153907e-05	
  8.821428744500e-05	  9.752455418093e-05	  7.945922859654e-04	  1.607804936118e-03	  9.680857452544e+00	  2.197318906574e-10	 -5.513423681908e+00	  0.000000000000e+00	  1.640257827221e-05	
  8.821428744497e-05	  9.752455418093e-05	  7.945922859654e-04	  1.607804936118e-03	  9.680857452544e+00	  2.197318906573e-10	 -5.512939546097e+00	  0.000000000000e+00	  1.640257827221e-05	
  8.645912702466e-05	  1.062943946995e-04	  7.550417090056e-04	  1.549753789984e-03	  9.678128199764e+00	  2.209433112470e-10	 -5.472835781637e+00	  0.000000000000e+00	  1.600837654023e-05	
  8.645912702465e-05	  1.062943946995e-04	  7.550417090056e-04	  1.549753789984e-03	  9.678128199764e+00	  2.209433112470e-10	 -5.472991741891e+00	  0.000000000000e+00	  1.600837654023e-05	
  8.475647227459e-05	  1.163750688795e-04	  7.119920478871e-04	  1.487221131855e-03	  9.675847131627e+00	  2.219152970895e-10	 -5.477344390167e+00	  0.000000000000e+00	  1.563681885325e-05	
  8.475647227457e-05	  1.163750688795e-04	  7.119920478871e-04	  1.487221131855e-03	  9.675847131628e+00	  2.219152970894e-10	 -5.476878099748e+00	  0.000000000000e+00	  1.563681885325e-05	
  8.316138218561e-05	  1.278943993371e-04	  6.655354186368e-04	  1.420536721030e-03	  9.674245666936e+00	  2.225261126530e-10	 -5.418947610960e+00	  0.000000000000e+00	  1.530274801935e-05	
  8.316138218560e-05	  1.278943993371e-04	  6.655354186368e-04	  1.420536721030e-03	  9.674245666936e+00	  2.225261126530e-10	 -5.418481323036e+00	  0.000000000000e+00	  1.530274801935e-05	
  8.172816032646e-05	  1.409567218300e-04	  6.158391998414e-04	  1.350135379044e-03	  9.673564189735e+00	  2.226498368831e-10	 -5.416057250895e+00	  0.000000000000e+00	  1.502071192962e-05	
  8.172816032645e-05	  1.409567218300e-04	  6.158391998414e-04	  1.350135379044e-03	  9.673564189735e+00	  2.226498368831e-10	 -5.414423360900e+00	  0.000000000000e+00	  1.502071192962e-05	
  8.071880088920e-05	  1.558526955473e-04	  5.631410550659e-04	  1.276549762994e-03	  9.674914519329e+00	  2.217191667735e-10	 -4.736027240072e+00	  0.000000000000e+00	  1.486447411509e-05	
  8.071880088920e-05	  1.558526955473e-04	  5.631410550659e-04	  1.276549762994e-03	  9.674914519329e+00	  2.217191667735e-10	 -4.760724990861e+00	  0.000000000000e+00	  1.486447411509e-05	
  8.011893127907e-05	  1.727778488650e-04	  5.075405851569e-04	  1.200398876476e-03	  9.678296816217e+00	  2.197479347554e-10	 -5.327171282690e+00	  0.000000000000e+00	  1.483005599620e-05	
  8.011893127907e-05	  1.727778488650e-04	  5.075405851569e-04	  1.200398876476e-03	  9.678296816217e+00	  2.197479347554e-10	 -5.327564776385e+00	  0.000000000000e+00	  1.483005599620e-05	
  8.063798095177e-05	  1.917399320734e-04	  4.500844555260e-04	  1.122372691936e-03	  9.686640716208e+00	  2.153120557357e-10	 -5.541222461844e+00	  0.000000000000e+00	  1.512359962514e-05	
  8.063798095173e-05	  1.917399320734e-04	  4.500844555260e-04	  1.122372691936e-03	  9.686640716208e+00	  2.153120557356e-10	 -5.541088387779e+00	  0.000000000000e+00	  1.512359962514e-05	
  8.382775264054e-05	  2.129403441058e-04	  3.924942327388e-04	  1.043213534849e-03	  9.705924589080e+00	  2.057213994725e-10	 -5.197646620330e+00	  0.000000000000e+00	  1.621433246354e-05	
  8.382775264054e-05	  2.129403441058e-04	  3.924942327388e-04	  1.043213534849e-03	  9.705924589080e+00	  2.057213994725e-10	 -5.200927418706e+00	  0.000000000000e+00	  1.621433246354e-05	
  8.624141648769e-05	  2.300600958060e-04	  3.380288595684e-04	  9.636949721009e-04	  9.721673937191e+00	  1.981499701831e-10	 -5.029618193076e+00	  0.000000000000e+00	  1.710683697902e-05	
  9.656435735901e-05	  2.403830506935e-04	  3.380288925118e-04	  9.636950660200e-04	  9.758618529671e+00	  1.820484211783e-10	 -5.066379345871e+00	  3.089271086203e-05	  2.030110775298e-05	
  9.045494157193e-05	  2.400177777626e-04	  2.927369189379e-04	  8.845994124902e-04	  9.743339948270e+00	  1.882778733532e-10	 -5.204256219256e+00	  0.000000000000e+00	  1.858652764155e-05	
  9.421349829827e-05	  2.437763397763e-04	  2.927369292864e-04	  8.845994437618e-04	  9.756608849960e+00	  1.826345935706e-10	 -5.217599728673e+00	  6.588968514600e-05	  1.976609326782e-05	
  9.049612024787e-05	  2.386361209783e-04	  2.552077066950e-04	  8.066953249390e-04	  9.749173681451e+00	  1.855086036993e-10	 -5.299598079330e+00	  0.000000000000e+00	  1.879704184364e-05	
  9.338301619620e-05	  2.415230209644e-04	  2.552077136509e-04	  8.066953469262e-04	  9.759412637124e+00	  1.812040326702e-10	 -5.308293855521e+00	  8.474713099312e-05	  1.971165687193e-05	
  9.145650401865e-05	  2.330692834408e-04	  2.237448563833e-04	  7.307151894327e-04	  9.758037494164e+00	  1.815099835291e-10	 -5.076932872805e+00	  0.000000000000e+00	  1.930492009156e-05	
  9.363725745855e-05	  2.352500397978e-04	  2.237448609923e-04	  7.307152044850e-04	  9.765713552172e+00	  1.783440514952e-10	 -5.077206200484e+00	  9.905021994027e-05	  2.000544149727e-05	
  9.317377300685e-05	  2.245656865757e-04	  1.972756362445e-04	  6.573350249933e-04	  9.769264139245e+00	  1.766364957974e-10	 -4.786036613930e+00	  0.000000000000e+00	  2.006886202347e-05	
  9.474938267465e-05	  2.261412981948e-04	  1.972756391742e-04	  6.573350347554e-04	  9.774715007338e+00	  1.744438648918e-10	 -4.766237541600e+00	  1.095700908269e-04	  2.058375128264e-05	
  9.549230420189e-05	  2.142649005000e-04	  1.748058650636e-04	  5.871568553818e-04	  9.782176962970e+00	  1.712321000340e-10	 -5.067138488313e+00	  0.000000000000e+00	  2.104869013315e-05	
  9.653269865756e-05	  2.153052961154e-04	  1.748058667705e-04	  5.871568611151e-04	  9.785688563710e+00	  1.698602826218e-10	 -5.080150453491e+00	  1.168719634794e-04	  2.139534938852e-05	
  9.826971441522e-05	  2.032138270745e-04	  1.554032039660e-04	  5.206945728906e-04	  9.796158881205e+00	  1.655909697098e-10	 -4.887402959902e+00	  0.000000000000e+00	  2.220578729143e-05	
  9.880349328497e-05	  2.037476064669e-04	  1.554032047400e-04	  5.206945754839e-04	  9.797907700073e+00	  1.649292721368e-10	 -4.901288735635e+00	  1.213234813826e-04	  2.238736251652e-05	
  1.013552157405e-04	  1.923850592497e-04	  1.381520719259e-04	  4.583637771319e-04	  9.810610819911e+00	  1.599698921564e-10	 -4.934228580481e+00	  0.000000000000e+00	  2.349457230267e-05	
  1.013458296029e-04	  1.923756731042e-04	  1.381520719139e-04	  4.583637770920e-04	  9.810581050735e+00	  1.599807899623e-10	 -4.946040736312e+00	  1.230275795332e-04	  2.349131182639e-05	
  1.038930629005e-04	  1.821287668163e-04	  1.220022503965e-04	  4.004758611071e-04	  9.822842434539e+00	  1.553350442204e-10	 -4.994348366603e+00	  0.000000000000e+00	  2.461418286511e-05	
  1.038511411347e-04	  1.820868450202e-04	  1.220022503494e-04	  4.004758609524e-04	  9.822713212218e+00	  1.553809591020e-10	 -4.996946471879e+00	  1.228448029117e-04	  2.459934090694e-05	
  1.062809101000e-04	  1.729946373423e-04	  1.069044776080e-04	  3.472363679720e-04	  9.834179073926e+00	  1.511531945809e-10	 -4.596526291587e+00	  0.000000000000e+00	  2.569320831815e-05	
  1.062449229140e-04	  1.729586501343e-04	  1.069044775727e-04	  3.472363678575e-04	  9.834071057822e+00	  1.511905190508e-10	 -4.644867504893e+00	  1.226548202461e-04	  2.568024118566e-05	
  1.085248278432e-04	  1.649653614456e-04	  9.293318576434e-05	  2.987474023403e-04	  9.844651634869e+00	  1.473858500902e-10	 -4.812512770462e+00	  0.000000000000e+00	  2.672763541466e-05	
  1.084948740084e-04	  1.649354075953e-04	  9.293318573896e-05	  2.987474022587e-04	  9.844563919443e+00	  1.474153861648e-10	 -4.751370689623e+00	  1.224960773789e-04	  2.671666658441e-05	
  1.105993710611e-04	  1.579698160711e-04	  8.013640619280e-05	  2.550136708835e-04	  9.854200413189e+00	  1.440283518680e-10	 -4.904447036026e+00	  0.000000000000e+00	  2.770233552098e-05	
  1.105751598786e-04	  1.579456048782e-04	  8.013640617519e-05	  2.550136708275e-04	  9.854131095879e+00	  1.440511468872e-10	 -4.887661001872e+00	  1.223672312923e-04	  2.769333895423e-05	
  1.124871026367e-04	  1.519254195741e-04	  6.853747550678e-05	  2.159515577707e-04	  9.862796833489e+00	  1.410669622484e-10	 -4.902944830608e+00	  0.000000000000e+00	  2.860530019838e-05	
  1.124680962011e-04	  1.519064131317e-04	  6.853747549501e-05	  2.159515577336e-04	  9.862743513393e+00	  1.410841253671e-10	 -4.913879988722e+00	  1.222656128742e-04	  2.859814454466e-05	
  1.141779026033e-04	  1.467453197372e-04	  5.813286212048e-05	  1.814005353358e-04	  9.870438762721e+00	  1.384815616359e-10	 -4.903505624143e+00	  0.000000000000e+00	  2.942778994951e-05	
  1.141634062036e-04	  1.467308233333e-04	  5.813286211289e-05	  1.814005353121e-04	  9.870398824291e+00	  1.384941740298e-10	 -4.908180283475e+00	  1.221877222999e-04	  2.942226864354e-05	
  1.156689271081e-04	  1.423415466529e-04	  4.889546532224e-05	  1.511361500598e-04	  9.877148038250e+00	  1.362471213369e-10	 -4.982776833426e+00	  0.000000000000e+00	  3.016461802261e-05	
  1.156581784070e-04	  1.423307979492e-04	  4.889546531752e-05	  1.511361500452e-04	  9.877118891541e+00	  1.362561718948e-10	 -4.970329097488e+00	  1.221296744500e-04	  3.016048240581e-05	
  1.169639780062e-04	  1.386275564640e-04	  4.077833999034e-05	  1.248838202957e-04	  9.882966811792e+00	  1.343351836751e-10	 -5.008840969274e+00	  0.000000000000e+00	  3.081409650929e-05	
  1.169562249543e-04	  1.386198034106e-04	  4.077833998751e-05	  1.248838202870e-04	  9.882946075401e+00	  1.343415287773e-10	 -5.000053265742e+00	  1.220875908520e-04	  3.081108721243e-05	
  1.180723715385e-04	  1.355202793551e-04	  3.371846259657e-05	  1.023327269001e-04	  9.887953030789e+00	  1.327153006847e-10	 -5.109609935843e+00	  0.000000000000e+00	  3.137767054220e-05	
  1.180669276406e-04	  1.355148354564e-04	  3.371846259493e-05	  1.023327268951e-04	  9.887938640657e+00	  1.327196485424e-10	 -5.107863380757e+00	  1.220578925559e-04	  3.137554161993e-05	
  1.190076019592e-04	  1.329415213176e-04	  2.764066759561e-05	  8.314916228597e-05	  9.892175806733e+00	  1.313562771477e-10	 -4.853348832283e+00	  0.000000000000e+00	  3.185936790514e-05	
  1.190038782428e-04	  1.329377976008e-04	  2.764066759469e-05	  8.314916228321e-05	  9.892166060819e+00	  1.313591902526e-10	 -4.803292306928e+00	  1.220374785999e-04	  3.185790241520e-05	
  1.197859615719e-04	  1.308188579473e-04	  2.246151666965e-05	  6.698881643469e-05	  9.895711002262e+00	  1.302272034591e-10	 -4.974249551849e+00	  0.000000000000e+00	  3.226515334785e-05	
  1.197834785690e-04	  1.308163749441e-04	  2.246151666915e-05	  6.698881643321e-05	  9.895704557126e+00	  1.302291125683e-10	 -4.953668040886e+00	  1.220238015790e-04	  3.226417094174e-05	
  1.204252476904e-04	  1.290861448230e-04	  1.809291102645e-05	  5.350760832459e-05	  9.898637279912e+00	  1.292982798975e-10	 -4.354974075614e+00	  0.000000000000e+00	  3.260226921308e-05	
  1.204236325836e-04	  1.290845297160e-04	  1.809291102619e-05	  5.350760832382e-05	  9.898633116020e+00	  1.292995040216e-10	 -4.407823774608e+00	  1.220148641895e-04	  3.260162737334e-05	
  1.209436523939e-04	  1.276837351824e-04	  1.444532377228e-05	  4.237080651897e-05	  9.901032781208e+00	  1.285414390829e-10	 -5.091493388407e+00	  0.000000000000e+00	  3.287862861867e-05	
  1.209426269492e-04	  1.276827097376e-04	  1.444532377215e-05	  4.237080651858e-05	  9.901030152118e+00	  1.285422072219e-10	 -5.100190643540e+00	  1.220091644590e-04	  3.287821963630e-05	
  1.213588839215e-04	  1.265584791407e-04	  1.143056402747e-05	  3.326031304345e-05	  9.902972510227e+00	  1.279307830479e-10	 -4.962745719157e+00	  0.000000000000e+00	  3.310230314493e-05	
  1.213582480953e-04	  1.265578433145e-04	  1.143056402741e-05	  3.326031304326e-05	  9.902970887303e+00	  1.279312548322e-10	 -4.971432675091e+00	  1.220056149837e-04	  3.310204881228e-05	
  1.216875301765e-04	  1.256635604464e-04	  8.964022896605e-06	  2.588010182940e-05	  9.904526422693e+00	  1.274428561369e-10	 -5.186836517421e+00	  0.000000000000e+00	  3.328112444241e-05	
  1.216871449958e-04	  1.256631752657e-04	  8.964022896574e-06	  2.588010182931e-05	  9.904525443006e+00	  1.274431397799e-10	 -5.180607016640e+00	  1.220034555236e-04	  3.328097000619e-05	
  1.219446477203e-04	  1.249582117252e-04	  6.966388335610e-06	  1.995990094657e-05	  9.905758169801e+00	  1.270567770509e-10	 -5.062891315196e+00	  0.000000000000e+00	  3.342240138426e-05	
  1.219444196726e-04	  1.249579836775e-04	  6.966388335596e-06	  1.995990094653e-05	  9.905757591383e+00	  1.270569439772e-10	 -5.081499683184e+00	  1.220021715485e-04	  3.342230977865e-05	
  1.221435433003e-04	  1.244073392822e-04	  5.364847135755e-06	  1.525728311996e-05	  9.906724412408e+00	  1.267542542536e-10	 -5.030166162753e+00	  0.000000000000e+00	  3.353274222705e-05	
  1.221434113216e-04	  1.244072073034e-04	  5.364847135749e-06	  1.525728311994e-05	  9.906724078381e+00	  1.267543504063e-10	 -5.009763294247e+00	  1.220014252519e-04	  3.353268913384e-05	
  1.222957078391e-04	  1.239810827452e-04	  4.093816663272e-06	  1.155838051691e-05	  9.907474603803e+00	  1.265195088717e-10	  8.289531632542e+00	  0.000000000000e+00	  3.361796449695e-05	
  1.222956331724e-04	  1.239810080785e-04	  4.093816663269e-06	  1.155838051690e-05	  9.907474415142e+00	  1.265195630723e-10	  8.292556576278e+00	  1.220010011623e-04	  3.361793442515e-05	
  1.224108624589e-04	  1.236543316268e-04	  3.095266162256e-06	  8.677468427800e-06	  9.908051134775e+00	  1.263391282771e-10	 -5.100786358243e+00	  0.000000000000e+00	  3.368307290618e-05	
  1.224108211669e-04	  1.236542903348e-04	  3.095266162255e-06	  8.677468427797e-06	  9.908051030574e+00	  1.263391581675e-10	 -5.114451547755e+00	  1.220007655500e-04	  3.368305626123e-05	
  1.224970799992e-04	  1.234062188859e-04	  2.318697453736e-06	  6.455670752641e-06	  9.908489739703e+00	  1.262018717939e-10	 -4.955315830368e+00	  0.000000000000e+00	  3.373228617914e-05	
